,best_index,acc,val_acc,blind_acc,counting_rate,val_counting_rate,blind_counting_rate
0,3.0,85.65608316942962,84.75147430497051,88.34155087404751,91.17729663848877,91.82813838124275,85.3608250617981
1,3.0,85.65608316942962,84.75147430497051,88.34155087404751,91.17729663848877,91.82813838124275,85.3608250617981
2,3.0,85.65608316942962,84.75147430497051,88.34155087404751,91.17729663848877,91.82813838124275,85.3608250617981
3,3.0,85.65608316942962,84.75147430497051,88.34155087404751,91.17729663848877,91.82813838124275,85.3608250617981
4,3.0,85.65608316942962,84.75147430497051,88.34155087404751,91.17729663848877,91.82813838124275,85.3608250617981
5,3.0,85.65608316942962,84.75147430497051,88.34155087404751,91.17729663848877,91.82813838124275,85.3608250617981
6,3.0,85.65608316942962,84.75147430497051,88.34155087404751,91.17729663848877,91.82813838124275,85.3608250617981
7,3.0,85.65608316942962,84.75147430497051,88.34155087404751,91.17729663848877,91.82813838124275,85.3608250617981
8,3.0,85.65608316942962,84.75147430497051,88.34155087404751,91.17729663848877,91.82813838124275,85.3608250617981
9,3.0,85.65608316942962,84.75147430497051,88.34155087404751,91.17729663848877,91.82813838124275,85.3608250617981
10,3.0,85.65608316942962,84.75147430497051,88.34155087404751,91.17729663848877,91.82813838124275,85.3608250617981
11,3.0,85.65608316942962,84.75147430497051,88.34155087404751,91.17729663848877,91.82813838124275,85.3608250617981
12,3.0,85.65608316942962,84.75147430497051,88.34155087404751,91.17729663848877,91.82813838124275,85.3608250617981
13,3.0,85.65608316942962,84.75147430497051,88.34155087404751,91.17729663848877,91.82813838124275,85.3608250617981
14,3.0,85.65608316942962,84.75147430497051,88.34155087404751,91.17729663848877,91.82813838124275,85.3608250617981
